player_name,YEAR,OVERALL,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,label
Josh Jackson,2017.0,4,0.7661122661122661,0.7625088090204369,0.7109375,0.717815344603381,0.7363779942090024,0.36708860759493667,0.5321100917431192,0.35067437379576105,0.5525525525525525,0.3798449612403101,0.5339506172839507,0.5914315569487983,0.5980707395498392,0.6324626865671642,0.68625,0.23129251700680273,0.23684210526315788,0.378,0.1912568306010929,0.4696969696969697,0.3614349775784753,0.20751595859790672,0.5303643724696356,0.6057692307692307,0.3767123287671233,0.46984126984126984,0.7706493796803398,0.3691,0.5327102803738317,0.5826086956521739,0.8507,0.05084745762711865,0.4722496296739831,0.3152366471843658,0.74857915436621,0.6907598320293887,0.7316221579810923,0.6363206306078945,0.6707422529375123,0.6850069623719002,0.7764332173649977,0.6270886870777566,0.6698913743471185,0.4024869565217391,0.47966878183422024,1
De'Aaron Fox,2017.0,5,0.7224532224532224,0.7801268498942917,0.7187500000000001,0.64629388816645,0.7213740458015268,0.08860759493670886,0.37308868501529047,0.5510597302504817,0.47447447447447455,0.6046511627906976,0.6512345679012346,0.7722048066875653,0.6334405144694534,0.707089552238806,0.65,0.11564625850340136,0.18157894736842106,0.246,0.03825136612021857,0.4090909090909091,0.42242152466367716,0.3670668473402279,0.5303643724696356,0.6474358974358975,0.4520547945205479,0.5555555555555556,0.7212473454789314,0.375,0.18691588785046728,0.1826086956521739,0.9524,0.06779661016949153,0.48873662205398816,0.3457653395719207,0.6984694663507724,0.6070625326231897,0.6710658645206656,0.6340680760123072,0.5688592245923921,0.6401624031917391,0.744725353251373,0.5716461819323481,0.6503345583430339,0.10144347826086957,0.3214390727408967,1
Jonathan Isaac,2017.0,6,0.6195426195426196,0.8372093023255813,0.5208333333333334,0.7386215864759427,0.8077125559357725,0.3248945147679325,0.7645259938837919,0.14450867052023122,0.4714714714714715,0.35658914728682173,0.36419753086419754,0.8150470219435737,0.3183279742765273,0.31156716417910446,0.74125,0.2108843537414966,0.23421052631578948,0.348,0.33879781420765026,0.36363636363636365,0.4134529147982063,0.1491871131681177,0.29554655870445345,0.33974358974358976,0.1780821917808219,0.1873015873015873,0.762490220185537,0.4333,0.3177570093457944,0.3391304347826087,0.8718,0.0847457627118644,0.400884096417535,0.24950231456111024,0.6967800744430097,0.5921346352836725,0.727437456051254,0.5905129595721488,0.709394933983564,0.7024185246029884,0.6568858589915448,0.6435820959158439,0.6845190330210879,0.30434782608695654,0.5780003604321392,2
Lauri Markkanen,2017.0,7,0.7972972972972973,0.9168428470754051,0.5598958333333334,0.7594278283485045,0.8350881811002896,0.4219409282700422,0.5351681957186544,0.10789980732177264,0.2942942942942943,0.5310077519379846,0.5061728395061729,0.8725182863113897,0.3729903536977492,0.39738805970149255,0.68125,0.46938775510204084,0.42894736842105263,0.423,0.09836065573770492,0.12121212121212123,0.39103139013452914,0.15484230131138912,0.2631578947368421,0.3173076923076923,0.3493150684931507,0.35555555555555557,0.7265005029618866,0.4513,0.18691588785046728,0.20869565217391303,0.8333,0.1016949152542373,0.567019246539502,0.4273279622496378,0.6501188911789735,0.5645807801311374,0.6908458473318227,0.7706851095133515,0.4661359626328753,0.6844089806774623,0.7774607628873508,0.754835812044326,0.49004857376772754,0.4136347826086957,0.45630708818256843,2
Zach Collins,2017.0,10,0.44490644490644493,0.8498942917547568,0.6458333333333334,0.8790637191157346,0.9255067122927084,0.5147679324894514,0.7094801223241589,0.08477842003853565,0.6066066066066066,0.4263565891472868,0.4567901234567901,0.7763845350052246,0.40192926045016075,0.34701492537313433,0.84,0.06802721088435375,0.05526315789473684,0.476,0.5355191256830601,0.2272727272727273,0.6412556053811659,0.05161709979218127,0.38461538461538464,0.40384615384615385,0.2054794520547945,0.18412698412698414,0.8360344249469095,0.5085,0.18691588785046728,0.20869565217391303,0.8333,0.15254237288135594,0.04676391033033868,0.0789561259647325,0.5482297881196848,0.5134966046558589,0.7461007891241503,0.5371776215815672,0.7948720704820246,0.727936165219432,0.42329659553826166,0.5887621755291728,0.8163616331566582,0.29431304347826087,0.3988561022109666,2
Malik Monk,2017.0,11,0.8274428274428275,0.8153629316420014,0.6536458333333334,0.7061118335500649,0.7711239799947355,0.046413502109704644,0.2201834862385321,0.25626204238921,0.39939939939939945,0.5736434108527132,0.5555555555555556,0.8589341692789968,0.47266881028938906,0.5522388059701493,0.62125,0.7074829931972789,0.6894736842105263,0.397,0.08196721311475409,0.24242424242424246,0.2896860986547085,0.22156453185296676,0.291497975708502,0.3525641025641026,0.5136986301369864,0.5904761904761905,0.7249357326478149,0.4011,0.22429906542056074,0.24347826086956523,0.8571,0.1694915254237288,0.5892856677973868,0.416453610137439,0.6851027115419452,0.5830351710757861,0.6397874833971404,0.6757900049937444,0.47331202204793643,0.6637036689353047,0.8098467027263859,0.677529680577681,0.5532892763233186,0.054921739130434785,0.20717259956937847,3
Luke Kennard,2017.0,12,0.91995841995842,0.8971106412966877,0.5989583333333334,0.752925877763329,0.8279810476441167,0.16455696202531644,0.37003058103975534,0.26204238921001927,0.33633633633633636,0.6201550387596899,0.5771604938271605,0.8944618599791013,0.4790996784565916,0.5298507462686567,0.65625,0.5986394557823129,0.5289473684210526,0.438,0.04918032786885246,0.21212121212121213,0.3461883408071749,0.29852772957293566,0.22267206477732793,0.27564102564102566,0.6438356164383562,0.6253968253968254,0.7066055661115457,0.4747,0.028037383177570093,0.02608695652173913,1.0,0.1864406779661017,0.6736705361071121,0.45696590232014084,0.717345962810102,0.5962414731120106,0.6987561528244394,0.7930254036610053,0.4573791310993388,0.7097538918876634,0.9001064057292183,0.7704353151393233,0.5230940399790617,0.20212173913043477,0.37170987109808495,3
Donovan Mitchell,2017.0,13,0.2796257796257796,0.7307963354474982,0.3307291666666667,0.7828348504551366,0.815872598052119,0.19831223628691985,0.5596330275229358,0.06165703275529866,0.7567567567567568,0.03875968992248062,0.040123456790123455,0.8035527690700105,0.05144694533762058,0.054104477611940295,0.6900000000000001,0.10204081632653061,0.09210526315789473,0.429,0.1530054644808743,0.2272727272727273,0.1820627802690583,0.0611237656281382,0.044534412955465584,0.05448717948717949,0.03424657534246575,0.03492063492063492,0.6830222420923214,0.4167,0.018691588785046728,0.02608695652173913,0.6667,,0.7262320987397203,0.5388015296229948,0.1984434282627972,0.18018825666855637,0.49181061020392214,0.3795554493564513,0.5153388048302954,0.41952155206133146,0.26688278157094497,0.2892892165412776,0.5674923462287782,0.08116521739130435,0.16757248954272544,3
Justin Patton,2017.0,16,0.66008316008316,0.8252290345313601,0.5494791666666667,0.8998699609882964,0.887733614108976,0.3248945147679325,0.5779816513761467,0.16570327552986513,0.5315315315315315,0.16666666666666666,0.25617283950617287,0.5412748171368862,0.5980707395498392,0.5074626865671642,0.855,0.05442176870748299,0.03684210526315789,0.571,0.3224043715846995,0.2878787878787879,0.2600896860986547,0.1322537377728459,0.6477732793522267,0.625,0.18493150684931506,0.24126984126984127,0.9123728624119817,0.3506,0.6261682242990654,0.591304347826087,0.9853,0.2542372881355932,0.48522991453213965,0.3413315053315611,0.6054599501759891,0.565224989986563,0.7196574732400969,0.5596682650228477,0.726888066844631,0.6533940389579911,0.6333670632540331,0.5601877153610312,0.6949834193684258,0.29316521739130436,0.4308966223714538,4
D.J. Wilson,2017.0,17,0.7785862785862786,0.8618745595489781,0.47135416666666674,0.7867360208062418,0.8267965254014213,0.28270042194092826,0.4984709480122324,0.16377649325626203,0.3813813813813814,0.1937984496124031,0.18518518518518517,0.8704284221525601,0.3954983922829582,0.36380597014925375,0.78875,0.2789115646258503,0.2894736842105263,0.373,0.28415300546448086,0.15151515151515152,0.17668161434977578,0.23040892731934323,0.291497975708502,0.27564102564102566,0.3493150684931507,0.3396825396825397,0.9250027942327036,0.4722,0.35514018691588783,0.33043478260869563,1.0,0.2711864406779661,0.6450337263518529,0.4586238574158619,0.6056333586575267,0.5622260820388921,0.7106620829752325,0.6501656527038708,0.620839878904031,0.6360788547289369,0.7666089432972214,0.6215033508141568,0.5718140775216476,0.2608695652173913,0.3644253478644396,4
