PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
1631171,Justin Lewis,PF,6' 6.25'',6' 7.50'',235.40,7' 2.50'',8' 9.50'',7.3,9.0,10.5
1630604,E.J. Liddell,PF,6' 5.50'',6' 7.00'',243.00,6' 11.75'',8' 7.50'',12.2,8.25,9.25
1631254,Kenneth Lofton Jr.,PF-C,,,,,,,,
1631213,Tyrese Martin,SG-SF,,,,,,,,
1631097,Bennedict Mathurin,SG,6' 4.50'',6' 6.00'',204.60,6' 9.00'',8' 8.00'',5.7,8.5,9.75
1630571,Matthew Mayer,SF,6' 8.00'',6' 9.25'',216.40,6' 10.50'',8' 9.00'',11.1,9.0,10.25
1631121,Bryce McGowens,SG,6' 5.25'',6' 6.50'',181.20,6' 8.75'',8' 7.50'',5.4,8.75,9.5
1631159,Leonard Miller,SF,6' 8.50'',6' 10.00'',211.00,7' 2.00'',8' 10.50'',5.7,9.25,10.5
1631125,Josh Minnott,PF,,,,,,,,
1631198,Aminu Mohammed,SG-SF,6' 3.50'',6' 5.00'',212.80,6' 11.00'',8' 8.00'',5.1,8.75,9.5
1631129,Iverson Molinar,PG,6' 2.25'',6' 3.25'',183.20,6' 8.00'',8' 5.00'',4.8,8.5,9.5
1631168,Jean Montero,PG,6' 1.00'',6' 2.25'',171.80,6' 5.25'',8' 2.50'',7.4,8.0,8.75
1631111,Wendell Moore,SG,6' 4.25'',6' 5.50'',217.20,7' 0.50'',8' 5.00'',7.5,8.75,10.25
1631099,Keegan Murray,PF,,,,,,,,
1629614,Andrew Nembhard,PG,6' 3.00'',6' 4.50'',195.60,6' 5.75'',8' 3.00'',4.4,8.0,9.5
1630590,Scotty Pippen Jr.,PG,6' 0.00'',6' 1.50'',180.00,6' 5.75'',7' 11.50'',5.3,7.75,9.0
1630629,Gabriele Procida,SG-SF,6' 5.75'',6' 7.75'',192.80,6' 8.00'',8' 10.00'',3.8,8.0,9.25
1631197,Jared Rhoden,SG-SF,,,,,,,,
1631115,Orlando Robinson,C,6' 9.75'',6' 11.00'',244.40,7' 4.00'',9' 3.00'',9.5,8.75,10.0
1631223,David Roddy,PF,6' 4.50'',6' 6.00'',260.80,6' 11.50'',8' 9.00'',11.6,8.75,10.0
1631157,Ryan Rollins,SG,6' 2.00'',6' 3.25'',179.20,6' 9.75'',8' 4.50'',5.0,8.0,8.5
1631204,Marcus Sasser,PG,,,,,,,,
1631220,Dereon Seabron,SG,6' 4.75'',6' 5.75'',182.40,6' 8.75'',8' 7.50'',4.0,8.5,9.5
1631101,Shaedon Sharpe,SG,6' 4.25'',6' 5.25'',198.00,6' 11.50'',8' 7.50'',4.8,9.0,9.25
1631173,Terquavion Smith,SG,6' 2.25'',6' 3.75'',165.20,6' 6.50'',8' 2.00'',3.8,8.5,8.0
1631095,Jabari Smith,PF,,,,,,,,
1631110,Jeremy Sochan,PF,,,,,,,,
1631164,Matteo Spagnolo,PG,6' 4.00'',6' 5.50'',196.20,6' 8.00'',8' 6.00'',8.6,8.25,10.0
1631124,Julian Strawther,SF,6' 5.75'',6' 7.00'',207.60,6' 9.50'',8' 8.50'',7.9,8.25,8.5
1631207,Dalen Terry,SG,6' 6.00'',6' 7.25'',195.20,7' 0.75'',8' 10.00'',5.4,8.5,9.0
1631166,Drew Timme,C,6' 8.25'',6' 9.25'',231.60,7' 2.00'',8' 11.50'',15.7,9.0,10.0
1631133,Jabari Walker,PF,6' 6.75'',6' 8.00'',213.80,6' 10.75'',8' 9.00'',12.1,8.75,9.75
1631102,TyTy Washington Jr.,SG,6' 2.25'',6' 3.75'',196.40,6' 8.00'',8' 3.50'',12.0,8.5,9.25
1631212,Peyton Watson,SF,6' 6.75'',6' 8.00'',203.40,7' 0.50'',8' 11.50'',5.2,8.5,9.5
1631104,Blake Wesley,SG,6' 3.00'',6' 4.25'',187.20,6' 9.25'',8' 7.00'',5.6,8.25,9.0
1631214,Alondes Williams,SG,6' 3.75'',6' 5.00'',209.00,6' 7.00'',8' 6.00'',7.2,8.5,9.25
1631114,Jalen Williams,SG,6' 4.50'',6' 5.75'',209.20,7' 2.25'',8' 9.50'',8.9,8.5,9.5
